x,L-eta
349.57,0.04489
360.05,0.04208
369.88,0.0402
379.39,0.04251
389.56,0.04948
399.41,0.05879
409.92,0.06855
419.77,0.08065
429.96,0.09182
439.81,0.10345
450.32,0.11601
459.52,0.12764
469.38,0.13974
479.89,0.1509
490.07,0.16253
500.26,0.17463
510.44,0.1858
520.62,0.19743
529.5,0.20906
539.68,0.22069
550.19,0.23279
559.72,0.24442
570.23,0.25558
580.74,0.26768
590.6,0.27978
600.78,0.29141
609.98,0.30351
619.84,0.31467
630.02,0.32677
640.53,0.3384
650.39,0.35003
660.57,0.36166
670.43,0.37376
680.94,0.38586
690.14,0.39656
700.32,0.40726
710.5,0.41935
720.68,0.42959
730.86,0.44029
740.72,0.45145
750.9,0.46168
761.08,0.47238
770.28,0.48262
780.46,0.49239
790.97,0.50308
801.15,0.51285
811,0.52215
821.17,0.53052
831.35,0.54029
841.53,0.54773
850.72,0.5561
861.08,0.56315
871.22,0.57076
881.55,0.57808
891.27,0.58511
901.61,0.59213
911.53,0.59887
921.87,0.60531
930.96,0.61146
941.09,0.61672
951.42,0.6214
961.35,0.62813
971.67,0.62958
981.58,0.62693
991.89,0.62074
1001.98,0.60722
1011.01,0.58343
1021.06,0.54643
1031.07,0.49475
1041.26,0.42986
1051.44,0.35793
1061.2,0.28248
1070.98,0.22082
1079.98,0.17853
1090.02,0.14212
1100.29,0.11128
